"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 10 07:52:14 GMT 2022","Fri Jun 10 07:52:20 GMT 2022","6193","Chrome Stable","petTests.spec.ts","Check pet functionality","","","Edit pet",""
"failed","Fri Jun 10 07:52:05 GMT 2022","Fri Jun 10 07:52:11 GMT 2022","6657","Chrome Stable","petTests.spec.ts","Check pet functionality","","","Create pet",""
"failed","Fri Jun 10 07:52:24 GMT 2022","Fri Jun 10 07:52:30 GMT 2022","6331","Chrome Stable","petTests.spec.ts","Check pet functionality","","","Delete pet",""
"skipped","Fri Jun 10 07:52:12 GMT 2022","Fri Jun 10 07:52:12 GMT 2022","0","Chrome Stable","snapshots/ownerPagesComparison.spec.ts","Check owner functionality","","","Owner details",""
"failed","Fri Jun 10 07:52:22 GMT 2022","Fri Jun 10 07:52:22 GMT 2022","3","Chrome Stable","snapshots/petPagesComparison.spec.ts","Check owner functionality","","","Create pet",""
"failed","Fri Jun 10 07:51:31 GMT 2022","Fri Jun 10 07:52:03 GMT 2022","31553","Chrome Stable","ownerTests.spec.ts","Check owner functionality","","","Update owner",""
"skipped","Fri Jun 10 07:52:12 GMT 2022","Fri Jun 10 07:52:12 GMT 2022","0","Chrome Stable","snapshots/ownerPagesComparison.spec.ts","Check owner functionality","","","Owner list",""
"passed","Fri Jun 10 07:51:24 GMT 2022","Fri Jun 10 07:51:31 GMT 2022","6640","Chrome Stable","ownerTests.spec.ts","Check owner functionality","","","Create owner",""
"skipped","Fri Jun 10 07:52:22 GMT 2022","Fri Jun 10 07:52:22 GMT 2022","0","Chrome Stable","snapshots/petPagesComparison.spec.ts","Check owner functionality","","","Edit pet",""
"failed","Fri Jun 10 07:52:12 GMT 2022","Fri Jun 10 07:52:12 GMT 2022","2","Chrome Stable","snapshots/ownerPagesComparison.spec.ts","Check owner functionality","","","Home",""
"skipped","Fri Jun 10 07:52:12 GMT 2022","Fri Jun 10 07:52:12 GMT 2022","0","Chrome Stable","snapshots/ownerPagesComparison.spec.ts","Check owner functionality","","","Create owner",""
"skipped","Fri Jun 10 07:52:12 GMT 2022","Fri Jun 10 07:52:12 GMT 2022","1","Chrome Stable","snapshots/ownerPagesComparison.spec.ts","Check owner functionality","","","Edit owner",""
